machine_id,machine_type,manufacturer,facility_area,install_date,status,model,line_id,process_step,criticality,last_service_date,expected_lifetime_years
M-0039,Deposition,KLA,Fab A,2023-06-07,maintenance,DEP-226,L5,planarization,high,2024-12-08,10
M-0040,Inspection,Lam Research,Cleanroom South,2023-03-23,active,INS-520,L4,deposition,low,2024-10-12,6
M-0041,Inspection,TEL,Cleanroom South,2022-07-26,active,INS-309,L3,planarization,medium,2024-09-11,12
M-0042,Deposition,TEL,Fab B,2019-09-08,active,DEP-436,L6,planarization,medium,2024-09-08,12
M-0043,CMP,Applied Materials,Fab A,2022-08-26,active,CMP-312,L6,deposition,high,2024-09-08,6
M-0044,Etcher,Applied Materials,Cleanroom North,2018-11-22,active,ETC-231,L2,inspection,medium,2024-09-12,7
M-0045,Inspection,Applied Materials,Fab A,2018-09-07,active,INS-355,L4,etch,low,2024-10-26,6
M-0046,Etcher,Nikon,Fab A,2019-12-17,standby,ETC-147,L3,planarization,medium,2024-09-26,9
M-0047,Lithography,KLA,Cleanroom North,2019-03-23,maintenance,LIT-886,L5,inspection,low,2024-11-01,7
M-0048,Lithography,TEL,Fab A,2018-11-05,maintenance,LIT-613,L6,planarization,low,2024-12-27,8
M-0049,CMP,KLA,Fab A,2018-08-14,active,CMP-849,L1,etch,high,2024-10-09,6
M-0050,Inspection,KLA,Cleanroom South,2019-03-03,active,INS-980,L2,inspection,high,2024-10-16,11
